Age,Gender,Location,EducationLevel,ClickThroughRate,Impressions,EngagementTime,BounceRate,AdType,ContentTopic,AdSize,PurchaseHistory,BrowsingBehavior,SiteNavigationPatterns,TimeOfDay,DeviceUsed,InternetBrowser,,time of the day,,browser behaviour
42,Female,Birmingham,Secondary,0.558583029,6090,146,0.212368845,Image,Sports,Medium,Medium,Moderate,Moderate,Night,Tablet,Edge,,,,
30,Female,Manchester,Secondary,0.809199592,4361,145,0.591190988,Image,Fashion,Medium,High,Moderate,Moderate,Evening,Mobile,Safari,,,,
19,Other,Glasgow,Secondary,0.312070521,6010,231,0.275974687,Image,Travel,Medium,Low,Moderate,Moderate,Night,Tablet,Opera,,,,
56,Female,Leeds,Secondary,0.595669004,2721,134,0.022402814,Video,Sports,Medium,Medium,Rare,Simple,Evening,Tablet,Edge,,,,
57,Male,Manchester,Post-secondary,0.174082511,6542,57,0.685537049,Image,Travel,Large,Low,Rare,Simple,Afternoon,Desktop,Opera,,,,
41,Female,Manchester,Secondary,0.476540341,6159,127,0.448659144,Text,Travel,Medium,High,Rare,Moderate,Morning,Desktop,Safari,,,,
64,Other,Birmingham,Secondary,0.17307226,9436,12,0.724230663,Video,Technology,Large,High,Moderate,Moderate,Morning,Mobile,Edge,,,,
42,Male,Leeds,Post-secondary,0.46242639,8721,151,0.056284498,Video,Sports,Medium,Medium,Moderate,Simple,Afternoon,Tablet,Opera,,,,
35,Other,Glasgow,Secondary,0.396819692,9769,155,0.530203422,Text,Fashion,Small,Low,Frequent,Moderate,Evening,Mobile,Safari,,,,
55,Other,Glasgow,Post-secondary,0.433264824,6393,291,0.054266395,Video,Fashion,Medium,None,Rare,Moderate,Afternoon,Tablet,Edge,,,,
43,Other,Manchester,Post-secondary,0.243712226,6441,182,0.143847046,Text,Fashion,Small,Medium,Moderate,Complex,Evening,Mobile,Edge,,,,
31,Other,Leeds,Post-secondary,0.136043342,1679,245,0.784413257,Text,Travel,Small,High,Frequent,Simple,Evening,Mobile,Edge,,,,
26,Female,Manchester,Secondary,0.275665328,9698,142,0.228672305,Image,Sports,Medium,Low,Moderate,Simple,Afternoon,Mobile,Chrome,,,,
27,Other,Manchester,Secondary,0.239580039,635,142,0.093323517,Video,Technology,Medium,None,Moderate,Simple,Night,Desktop,Chrome,,,,
38,Female,Glasgow,Secondary,0.734296203,9484,167,0.141808718,Image,Food,Medium,High,Moderate,Simple,Night,Tablet,Chrome,,,,
34,Female,Glasgow,Post-secondary,0.716975073,7689,235,0.14143221,Video,Technology,Small,Low,Frequent,Moderate,Afternoon,Desktop,Opera,,,,
23,Other,Manchester,Secondary,0.584482994,2068,252,0.843823891,Image,Fashion,Large,None,Frequent,Moderate,Afternoon,Desktop,Firefox,,,,
33,Male,Glasgow,Secondary,0.091333798,2955,81,0.589942537,Text,Technology,Medium,High,Frequent,Simple,Night,Mobile,Edge,,,,
18,Other,Glasgow,Secondary,0.566261854,5836,141,0.792349021,Video,Travel,Medium,None,Rare,Simple,Morning,Desktop,Opera,,,,
36,Other,Birmingham,Secondary,0.079237026,7050,243,0.257219096,Video,Fashion,Medium,Low,Frequent,Moderate,Morning,Mobile,Safari,,,,
53,Female,Birmingham,Secondary,0.018173019,7262,29,0.626340832,Image,Technology,Small,None,Rare,Complex,Night,Tablet,Firefox,,,,
42,Female,London,Post-secondary,0.352596115,7956,169,0.898907591,Video,Technology,Medium,Low,Moderate,Moderate,Evening,Desktop,Chrome,,,,
47,Female,London,Secondary,0.240544919,7140,124,0.533955491,Video,Food,Small,Low,Rare,Moderate,Afternoon,Desktop,Safari,,,,
37,Female,Manchester,Post-secondary,0.594647681,6381,270,0.870734056,Image,Fashion,Small,None,Frequent,Moderate,Night,Mobile,Chrome,,,,
37,Other,Manchester,Post-secondary,0.928642488,9056,11,0.218045715,Image,Food,Medium,Low,Rare,Moderate,Morning,Mobile,Safari,,,,
32,Male,Manchester,Secondary,0.719852028,1792,269,0.9669267,Video,Fashion,Small,Low,Frequent,Simple,Afternoon,Desktop,Opera,,,,
57,Male,Manchester,Secondary,0.767360862,7303,253,0.079692489,Video,Food,Small,Low,Moderate,Complex,Night,Mobile,Safari,,,,
50,Male,Glasgow,Secondary,0.95089311,3704,86,0.76110836,Video,Technology,Small,Medium,Frequent,Moderate,Morning,Mobile,Firefox,,,,
19,Male,London,Post-secondary,0.634091081,3434,134,0.201718824,Image,Travel,Medium,Low,Frequent,Moderate,Morning,Tablet,Safari,,,,
27,Female,Manchester,Secondary,0.577730941,9219,169,0.116887702,Text,Food,Large,Medium,Rare,Moderate,Morning,Desktop,Opera,,,,
50,Other,Birmingham,Secondary,0.601867976,1341,5,0.559025932,Image,Fashion,Large,None,Frequent,Moderate,Night,Tablet,Edge,,,,
49,Female,Glasgow,Secondary,0.865805257,2386,63,0.317022283,Text,Sports,Medium,Medium,Frequent,Moderate,Night,Mobile,Edge,,,,
28,Female,London,Post-secondary,0.388099035,3569,211,0.222519951,Image,Sports,Large,Medium,Rare,Complex,Afternoon,Tablet,Firefox,,,,
41,Other,Glasgow,Secondary,0.795336225,211,59,0.43912329,Text,Food,Medium,Medium,Rare,Simple,Night,Desktop,Chrome,,,,
53,Other,Leeds,Secondary,0.652256935,9893,31,0.988421433,Image,Technology,Large,Medium,Frequent,Moderate,Night,Desktop,Edge,,,,
29,Other,Manchester,Secondary,0.304571551,701,167,0.632677558,Text,Food,Medium,Medium,Frequent,Simple,Evening,Desktop,Opera,,,,
46,Female,Birmingham,Secondary,0.013688411,9875,202,0.278602966,Video,Travel,Medium,None,Rare,Moderate,Evening,Mobile,Opera,,,,
52,Male,London,Secondary,0.20991999,6586,131,0.985902203,Video,Fashion,Medium,Medium,Moderate,Simple,Afternoon,Mobile,Opera,,,,
18,Female,Glasgow,Secondary,0.699988765,4750,12,0.279166681,Video,Sports,Medium,High,Rare,Simple,Morning,Mobile,Firefox,,,,
18,Female,London,Post-secondary,0.57969031,9463,247,0.719651612,Image,Fashion,Small,Low,Rare,Simple,Morning,Tablet,Opera,,,,
54,Other,Leeds,Secondary,0.2745947,3457,215,0.263332815,Video,Fashion,Small,None,Frequent,Moderate,Afternoon,Desktop,Firefox,,,,
23,Female,Birmingham,Secondary,0.434302471,858,253,0.774306448,Image,Food,Medium,Medium,Rare,Moderate,Night,Tablet,Safari,,,,
56,Male,Glasgow,Secondary,0.661148766,5544,162,0.643984124,Image,Technology,Large,High,Rare,Moderate,Afternoon,Desktop,Chrome,,,,
58,Male,Leeds,Post-secondary,0.12708614,1592,235,0.572706863,Text,Fashion,Medium,None,Moderate,Moderate,Night,Mobile,Safari,,,,
35,Female,Birmingham,Secondary,0.432279581,1808,213,0.458894874,Video,Technology,Small,None,Frequent,Simple,Afternoon,Desktop,Safari,,,,
33,Other,Manchester,Post-secondary,0.416624215,1587,55,0.24284326,Video,Travel,Large,Medium,Frequent,Moderate,Afternoon,Mobile,Firefox,,,,
22,Female,London,Secondary,0.54260102,8288,264,0.609427238,Video,Travel,Large,Low,Moderate,Complex,Evening,Desktop,Chrome,,,,
59,Male,Leeds,Secondary,0.52191368,8040,182,0.874347549,Video,Technology,Small,None,Rare,Complex,Morning,Desktop,Safari,,,,
60,Male,London,Secondary,0.367726685,2103,95,0.031305414,Image,Food,Medium,High,Moderate,Simple,Afternoon,Tablet,Chrome,,,,
49,Female,London,Secondary,0.762733629,3081,167,0.732669739,Text,Food,Small,None,Rare,Moderate,Evening,Mobile,Chrome,,,,
19,Male,Leeds,Post-secondary,0.06722904,1444,221,0.879922535,Image,Food,Medium,Low,Rare,Moderate,Afternoon,Tablet,Edge,,,,
19,Female,Leeds,Secondary,0.035538473,9845,167,0.61688778,Video,Sports,Small,Low,Moderate,Simple,Morning,Tablet,Firefox,,,,
57,Male,Glasgow,Secondary,0.42025934,9739,207,0.258430632,Image,Travel,Medium,High,Frequent,Complex,Afternoon,Mobile,Opera,,,,
59,Other,Birmingham,Secondary,0.89669425,5494,70,0.351475059,Video,Travel,Medium,High,Frequent,Simple,Morning,Mobile,Opera,,,,
53,Male,Manchester,Post-secondary,0.277569351,9630,272,0.748804821,Image,Fashion,Medium,Low,Rare,Moderate,Night,Tablet,Safari,,,,
56,Female,Birmingham,Post-secondary,0.172309325,6875,150,0.366822364,Video,Technology,Large,Low,Frequent,Simple,Evening,Desktop,Chrome,,,,
29,Female,Manchester,Secondary,0.928208394,6791,42,0.008073156,Text,Sports,Large,Low,Moderate,Complex,Night,Mobile,Chrome,,,,
64,Other,Manchester,Secondary,0.168223255,2488,293,0.105518295,Text,Sports,Small,Low,Moderate,Complex,Evening,Mobile,Chrome,,,,
36,Male,Glasgow,Secondary,0.374840537,3777,198,0.28534037,Text,Fashion,Small,None,Moderate,Complex,Afternoon,Desktop,Chrome,,,,
45,Female,Birmingham,Post-secondary,0.72901551,7824,110,0.393169803,Image,Technology,Large,Low,Moderate,Moderate,Evening,Tablet,Opera,,,,
18,Male,Leeds,Post-secondary,0.260924008,9034,9,0.364324723,Text,Food,Large,Low,Moderate,Moderate,Evening,Tablet,Chrome,,,,
32,Other,London,Secondary,0.229849528,8552,243,0.806427721,Image,Fashion,Medium,Low,Frequent,Simple,Morning,Tablet,Edge,,,,
53,Female,Glasgow,Secondary,0.397667234,7978,214,0.221582736,Image,Food,Small,None,Rare,Complex,Morning,Tablet,Safari,,,,
30,Other,Glasgow,Secondary,0.787364815,2369,214,0.410313316,Text,Food,Medium,None,Moderate,Simple,Afternoon,Desktop,Safari,,,,
60,Female,Glasgow,Post-secondary,0.910983353,2593,169,0.814226894,Text,Food,Small,Medium,Rare,Complex,Morning,Tablet,Edge,,,,
38,Male,Leeds,Secondary,0.031292528,2420,242,0.793437281,Image,Food,Medium,Low,Rare,Moderate,Night,Tablet,Edge,,,,
29,Female,London,Secondary,0.165108127,3534,88,0.205225306,Image,Travel,Large,High,Moderate,Complex,Evening,Tablet,Edge,,,,
22,Other,Manchester,Secondary,0.958601289,789,286,0.364073012,Video,Fashion,Large,High,Rare,Simple,Afternoon,Desktop,Opera,,,,
24,Female,Leeds,Secondary,0.592791292,124,34,0.15631315,Text,Sports,Medium,High,Frequent,Simple,Night,Desktop,Firefox,,,,
22,Other,Birmingham,Secondary,0.551410269,6109,260,0.090099988,Video,Technology,Large,Low,Rare,Complex,Afternoon,Tablet,Chrome,,,,
21,Female,Birmingham,Secondary,0.813543679,1644,268,0.554193186,Image,Travel,Medium,None,Rare,Moderate,Morning,Tablet,Chrome,,,,
30,Other,Leeds,Post-secondary,0.039783298,9004,95,0.319492242,Text,Fashion,Medium,None,Moderate,Complex,Afternoon,Mobile,Safari,,,,
54,Male,Glasgow,Secondary,0.013836251,1732,164,0.513689217,Text,Food,Small,None,Frequent,Moderate,Afternoon,Tablet,Firefox,,,,
58,Female,Leeds,Secondary,0.96749405,4452,72,0.587909899,Text,Travel,Large,Medium,Moderate,Moderate,Night,Mobile,Safari,,,,
32,Male,London,Secondary,0.828570686,5007,265,0.606192268,Text,Technology,Small,Medium,Moderate,Moderate,Afternoon,Mobile,Edge,,,,
33,Female,Manchester,Secondary,0.747381782,362,262,0.940765207,Video,Food,Large,None,Frequent,Complex,Afternoon,Desktop,Firefox,,,,
38,Female,Manchester,Secondary,0.15570077,9664,81,0.23464922,Text,Fashion,Small,Medium,Moderate,Simple,Evening,Tablet,Opera,,,,
53,Male,Manchester,Post-secondary,0.476603923,7732,141,0.898085293,Text,Travel,Medium,Low,Rare,Complex,Morning,Desktop,Opera,,,,
41,Other,Manchester,Post-secondary,0.937293539,4505,294,0.051308662,Video,Food,Small,Medium,Frequent,Simple,Evening,Desktop,Edge,,,,
33,Male,Glasgow,Secondary,0.933599596,9345,166,0.030382839,Image,Travel,Medium,Medium,Frequent,Simple,Morning,Mobile,Edge,,,,
31,Male,Birmingham,Secondary,0.009247107,841,34,0.10876807,Image,Food,Medium,Medium,Moderate,Moderate,Evening,Desktop,Chrome,,,,
39,Female,Birmingham,Post-secondary,0.752491409,8423,219,0.643689147,Text,Food,Medium,Medium,Frequent,Simple,Night,Desktop,Safari,,,,
23,Other,Leeds,Post-secondary,0.006237766,8388,98,0.530293517,Image,Food,Small,High,Moderate,Complex,Morning,Mobile,Chrome,,,,
59,Other,Manchester,Secondary,0.984301728,516,61,0.162123183,Video,Travel,Medium,High,Rare,Complex,Night,Tablet,Chrome,,,,
53,Male,Birmingham,Secondary,0.416967202,2418,200,0.147904947,Text,Sports,Large,None,Moderate,Moderate,Afternoon,Desktop,Opera,,,,
18,Male,London,Secondary,0.973518758,3014,249,0.529429308,Text,Technology,Small,None,Moderate,Simple,Morning,Desktop,Opera,,,,
49,Other,Leeds,Post-secondary,0.367746809,8098,113,0.959005899,Image,Travel,Large,Low,Frequent,Simple,Evening,Mobile,Safari,,,,
23,Male,Glasgow,Secondary,0.293187291,7625,274,0.182730006,Video,Fashion,Small,Medium,Frequent,Simple,Evening,Mobile,Edge,,,,
48,Female,Birmingham,Post-secondary,0.316291964,1959,95,0.25912951,Video,Technology,Medium,None,Moderate,Complex,Night,Mobile,Safari,,,,
18,Female,Manchester,Secondary,0.730679067,3057,177,0.120583292,Video,Technology,Small,Medium,Rare,Moderate,Evening,Desktop,Safari,,,,
54,Male,Glasgow,Secondary,0.199672834,8182,29,0.594601844,Video,Food,Medium,None,Moderate,Complex,Night,Desktop,Safari,,,,
52,Female,London,Secondary,0.864057692,3462,181,0.92676929,Text,Fashion,Small,None,Rare,Moderate,Afternoon,Mobile,Chrome,,,,
47,Other,London,Secondary,0.590572694,9926,158,0.238015141,Text,Travel,Large,Medium,Moderate,Complex,Evening,Tablet,Edge,,,,
21,Male,London,Post-secondary,0.969911026,1622,193,0.472421263,Text,Food,Medium,None,Frequent,Simple,Morning,Mobile,Safari,,,,
52,Female,Glasgow,Secondary,0.987084903,8744,36,0.907614559,Video,Fashion,Medium,Low,Rare,Complex,Night,Tablet,Chrome,,,,
60,Male,Birmingham,Secondary,0.185182001,6831,20,0.708283141,Video,Fashion,Medium,Low,Moderate,Simple,Afternoon,Tablet,Edge,,,,
31,Other,Birmingham,Post-secondary,0.955782054,3065,219,0.528286663,Video,Technology,Medium,Low,Rare,Moderate,Afternoon,Tablet,Edge,,,,
57,Female,Manchester,Secondary,0.046538486,6357,144,0.639306768,Video,Fashion,Large,Low,Rare,Complex,Evening,Mobile,Chrome,,,,
39,Other,Glasgow,Post-secondary,0.027863724,6455,150,0.73083957,Image,Sports,Medium,Low,Moderate,Moderate,Night,Desktop,Opera,,,,
27,Male,Birmingham,Secondary,0.943864577,9150,289,0.728478452,Image,Fashion,Large,Medium,Rare,Moderate,Afternoon,Desktop,Safari,,,,
18,Male,Leeds,Secondary,0.962396737,1836,132,0.484977108,Text,Sports,Medium,High,Moderate,Moderate,Morning,Desktop,Firefox,,,,
28,Female,Manchester,Secondary,0.147247673,3634,281,0.281475994,Image,Food,Large,Low,Moderate,Complex,Evening,Desktop,Opera,,,,
61,Other,Birmingham,Secondary,0.442415815,206,41,0.206174593,Text,Travel,Small,Medium,Rare,Simple,Evening,Tablet,Edge,,,,
41,Male,Leeds,Post-secondary,0.494092528,8757,269,0.918613878,Image,Travel,Medium,Medium,Moderate,Simple,Night,Tablet,Firefox,,,,
20,Other,Manchester,Secondary,0.860281237,1348,266,0.058246696,Video,Sports,Small,None,Frequent,Moderate,Afternoon,Tablet,Safari,,,,
52,Other,London,Secondary,0.627917243,4719,35,0.33707314,Text,Technology,Medium,Low,Rare,Simple,Night,Tablet,Chrome,,,,
53,Female,London,Secondary,0.774566424,5836,193,0.690050138,Image,Travel,Large,None,Frequent,Simple,Morning,Tablet,Edge,,,,
48,Other,Leeds,Secondary,0.485096845,8614,180,0.600069027,Video,Fashion,Medium,Medium,Frequent,Simple,Night,Tablet,Edge,,,,
21,Male,London,Secondary,0.648413702,8020,7,0.4332186,Video,Travel,Small,High,Frequent,Complex,Evening,Mobile,Opera,,,,
36,Male,Leeds,Post-secondary,0.73540936,890,217,0.104232866,Image,Food,Large,None,Frequent,Moderate,Afternoon,Mobile,Firefox,,,,
64,Female,Manchester,Post-secondary,0.737881284,6440,195,0.139528051,Text,Fashion,Large,Low,Frequent,Complex,Afternoon,Tablet,Chrome,,,,
53,Other,Birmingham,Secondary,0.001737827,6030,38,0.696522873,Image,Food,Small,High,Frequent,Moderate,Afternoon,Desktop,Opera,,,,
38,Male,Manchester,Secondary,0.099908074,2335,299,0.483696614,Text,Travel,Small,None,Moderate,Simple,Night,Mobile,Firefox,,,,
35,Male,Leeds,Post-secondary,0.363660441,7605,85,0.339550731,Text,Technology,Large,Medium,Moderate,Moderate,Afternoon,Tablet,Opera,,,,
45,Female,Glasgow,Secondary,0.061197447,7115,280,0.374793531,Video,Fashion,Large,Medium,Rare,Complex,Evening,Mobile,Firefox,,,,
32,Other,Glasgow,Secondary,0.382989702,8497,169,0.428685981,Video,Food,Small,Medium,Frequent,Simple,Afternoon,Mobile,Firefox,,,,
59,Other,Leeds,Secondary,0.389566848,4039,276,0.683056619,Text,Sports,Medium,High,Moderate,Complex,Night,Mobile,Safari,,,,
19,Other,London,Secondary,0.920233537,8149,170,0.60094779,Text,Food,Small,None,Frequent,Simple,Night,Tablet,Safari,,,,
54,Male,Leeds,Post-secondary,0.567071855,5726,123,0.070482979,Text,Sports,Small,Low,Rare,Moderate,Night,Desktop,Edge,,,,
28,Male,Birmingham,Secondary,0.706351281,1041,271,0.157477859,Text,Sports,Medium,None,Moderate,Moderate,Morning,Desktop,Firefox,,,,
40,Female,Manchester,Post-secondary,0.887198682,4503,238,0.070555687,Text,Technology,Medium,Medium,Moderate,Complex,Night,Mobile,Firefox,,,,
61,Male,Leeds,Secondary,0.442129321,2486,152,0.034590126,Image,Sports,Large,High,Moderate,Complex,Night,Mobile,Firefox,,,,
58,Female,Birmingham,Secondary,0.001962145,1019,186,0.776004918,Image,Fashion,Medium,None,Frequent,Simple,Evening,Desktop,Safari,,,,
29,Female,Glasgow,Secondary,0.285336025,3438,270,0.850958908,Image,Travel,Small,High,Frequent,Simple,Evening,Desktop,Opera,,,,
20,Other,Leeds,Post-secondary,0.8141587,4017,78,0.416177832,Text,Food,Large,Low,Moderate,Moderate,Afternoon,Tablet,Firefox,,,,
34,Female,London,Secondary,0.90184117,6199,162,0.968840785,Image,Fashion,Small,Medium,Frequent,Moderate,Night,Tablet,Opera,,,,
50,Other,Leeds,Post-secondary,0.351509581,1264,70,0.863597702,Text,Sports,Medium,High,Rare,Moderate,Evening,Desktop,Opera,,,,
18,Other,Glasgow,Secondary,0.293991253,7276,88,0.860385044,Video,Fashion,Small,High,Moderate,Moderate,Evening,Mobile,Safari,,,,
56,Male,Birmingham,Secondary,0.924505211,2135,101,0.3671844,Text,Fashion,Medium,High,Moderate,Simple,Morning,Tablet,Safari,,,,
37,Male,Leeds,Post-secondary,0.351073736,3041,63,0.954347163,Video,Technology,Large,Low,Frequent,Simple,Morning,Tablet,Edge,,,,
64,Female,Leeds,Secondary,0.652245188,4970,163,0.748929846,Video,Sports,Small,Low,Frequent,Moderate,Afternoon,Tablet,Firefox,,,,
60,Female,London,Secondary,0.280309235,1539,297,0.353692429,Video,Fashion,Medium,None,Rare,Simple,Evening,Desktop,Opera,,,,
58,Female,Leeds,Post-secondary,0.097918799,9179,173,0.888832894,Image,Food,Medium,Medium,Moderate,Moderate,Night,Desktop,Safari,,,,
31,Female,Manchester,Secondary,0.501236312,8953,133,0.0041123,Text,Technology,Large,Low,Rare,Simple,Afternoon,Desktop,Safari,,,,
48,Male,Leeds,Secondary,0.923231837,369,37,0.571591041,Text,Fashion,Small,Medium,Rare,Moderate,Evening,Tablet,Opera,,,,
42,Female,Birmingham,Secondary,0.618640754,7595,22,0.520172793,Image,Food,Medium,Medium,Moderate,Moderate,Night,Mobile,Firefox,,,,
20,Other,Manchester,Secondary,0.208826625,1425,268,0.081789941,Text,Food,Large,None,Rare,Simple,Night,Tablet,Edge,,,,
21,Male,London,Post-secondary,0.682429573,640,149,0.86235649,Video,Sports,Small,None,Moderate,Moderate,Afternoon,Mobile,Safari,,,,
48,Other,Birmingham,Secondary,0.768361144,9633,132,0.281711168,Text,Fashion,Small,High,Frequent,Complex,Morning,Tablet,Chrome,,,,
52,Female,London,Post-secondary,0.320760562,4606,35,0.376350079,Image,Sports,Medium,None,Moderate,Simple,Night,Mobile,Edge,,,,
61,Male,Leeds,Secondary,0.559209401,406,291,0.475153414,Image,Food,Large,Medium,Frequent,Complex,Morning,Desktop,Edge,,,,
31,Other,Leeds,Secondary,0.681953131,9843,206,0.81693483,Text,Fashion,Small,Medium,Frequent,Complex,Night,Desktop,Firefox,,,,
58,Male,Leeds,Post-secondary,0.160353145,8210,153,0.594938031,Text,Sports,Small,Medium,Frequent,Moderate,Afternoon,Mobile,Safari,,,,
26,Other,Glasgow,Secondary,0.96410094,9425,190,0.563957204,Image,Sports,Small,None,Rare,Simple,Evening,Mobile,Safari,,,,
37,Male,Glasgow,Secondary,0.451251961,7037,209,0.362377576,Image,Travel,Medium,Medium,Rare,Moderate,Afternoon,Mobile,Safari,,,,
49,Other,Glasgow,Post-secondary,0.97966439,5750,276,0.279684672,Video,Technology,Large,None,Frequent,Moderate,Afternoon,Mobile,Firefox,,,,
26,Other,Manchester,Secondary,0.189573866,5114,218,0.478120232,Image,Food,Medium,Medium,Rare,Moderate,Night,Mobile,Firefox,,,,
44,Other,Glasgow,Post-secondary,0.483773546,7727,175,0.255733532,Video,Food,Medium,High,Rare,Simple,Afternoon,Tablet,Safari,,,,
20,Male,Leeds,Secondary,0.165853654,2826,171,0.339511438,Text,Sports,Large,High,Moderate,Moderate,Morning,Mobile,Safari,,,,
21,Other,Leeds,Secondary,0.010180822,7509,144,0.440376335,Text,Food,Small,Low,Moderate,Simple,Afternoon,Tablet,Safari,,,,
62,Other,London,Secondary,0.237875173,8826,247,0.843500864,Text,Food,Medium,None,Frequent,Moderate,Evening,Tablet,Edge,,,,
32,Female,Birmingham,Post-secondary,0.403187337,5857,90,0.930510617,Image,Fashion,Medium,Low,Moderate,Moderate,Morning,Desktop,Opera,,,,
50,Other,Birmingham,Secondary,0.431130738,4005,123,0.82974137,Video,Travel,Medium,High,Frequent,Complex,Night,Desktop,Opera,,,,
22,Female,Manchester,Post-secondary,0.886505155,7166,112,0.525699715,Text,Fashion,Small,High,Rare,Simple,Afternoon,Desktop,Firefox,,,,
21,Male,Birmingham,Post-secondary,0.635677264,4867,278,0.711557253,Text,Fashion,Large,High,Rare,Complex,Night,Tablet,Firefox,,,,
63,Other,Manchester,Secondary,0.434441655,6135,154,0.335208609,Image,Food,Medium,None,Frequent,Simple,Afternoon,Desktop,Opera,,,,
29,Male,London,Secondary,0.9879977,1057,263,0.459196923,Video,Food,Small,Low,Rare,Simple,Night,Desktop,Safari,,,,
40,Female,Leeds,Secondary,0.614224332,7791,63,0.940489656,Video,Food,Large,None,Moderate,Complex,Night,Mobile,Safari,,,,
31,Female,Leeds,Secondary,0.322662965,6623,53,0.35494748,Video,Fashion,Large,Medium,Moderate,Simple,Night,Desktop,Edge,,,,
63,Male,Manchester,Post-secondary,0.691310881,1309,46,0.172985677,Video,Fashion,Small,None,Frequent,Simple,Morning,Desktop,Chrome,,,,
29,Other,Glasgow,Secondary,0.495699923,2933,290,0.472094057,Image,Travel,Small,None,Moderate,Simple,Afternoon,Tablet,Edge,,,,
34,Male,London,Secondary,0.881167694,5324,222,0.652591619,Text,Sports,Large,Medium,Moderate,Complex,Morning,Desktop,Edge,,,,
42,Female,Leeds,Secondary,0.896511262,5999,81,0.12651426,Image,Fashion,Small,Low,Rare,Moderate,Morning,Desktop,Safari,,,,
47,Female,Leeds,Secondary,0.3673504,7816,54,0.122101419,Video,Food,Medium,None,Frequent,Simple,Night,Tablet,Edge,,,,
39,Other,London,Secondary,0.562339051,9521,180,0.303694891,Text,Fashion,Large,Low,Frequent,Moderate,Afternoon,Desktop,Firefox,,,,
64,Female,Manchester,Post-secondary,0.265773444,4460,122,0.907649101,Text,Technology,Medium,None,Rare,Moderate,Evening,Tablet,Chrome,,,,
43,Other,Glasgow,Secondary,0.626636752,419,43,0.674603851,Video,Fashion,Medium,High,Frequent,Simple,Night,Tablet,Edge,,,,
34,Other,Manchester,Post-secondary,0.992346962,6218,86,0.221934156,Image,Fashion,Large,None,Rare,Simple,Afternoon,Mobile,Firefox,,,,
37,Other,London,Secondary,0.832588518,5965,162,0.603487561,Text,Technology,Large,Low,Frequent,Moderate,Evening,Mobile,Firefox,,,,
51,Female,Birmingham,Secondary,0.3664099,8376,211,0.660239834,Text,Travel,Large,Low,Frequent,Moderate,Evening,Tablet,Firefox,,,,
58,Male,Manchester,Post-secondary,0.095380352,8735,169,0.52305468,Video,Fashion,Medium,Low,Frequent,Complex,Morning,Mobile,Edge,,,,
50,Male,Birmingham,Secondary,0.966681987,3211,182,0.759382461,Image,Technology,Medium,Low,Rare,Complex,Evening,Tablet,Chrome,,,,
54,Female,London,Secondary,0.389584779,6710,84,0.024738989,Video,Technology,Medium,Medium,Rare,Simple,Morning,Desktop,Safari,,,,
24,Male,Birmingham,Secondary,0.293380893,7483,69,0.191117227,Video,Technology,Small,None,Rare,Simple,Afternoon,Mobile,Firefox,,,,
39,Male,Leeds,Secondary,0.316335393,6552,20,0.966371744,Video,Travel,Large,High,Moderate,Complex,Evening,Tablet,Chrome,,,,
49,Female,Birmingham,Post-secondary,0.489923367,660,191,0.497740002,Video,Technology,Small,Low,Frequent,Complex,Morning,Mobile,Chrome,,,,
31,Male,Glasgow,Post-secondary,0.956751399,9602,295,0.076514798,Text,Sports,Small,Low,Moderate,Simple,Night,Desktop,Opera,,,,
